"DriveLetter","Label","TotalSizeGB","FreeSpaceGB","UsedPercent","Status","RunDate","RunTime","RunTimestamp"
"C:","Windows-SSD","951.65","139.1","85.38","CRITICAL","2026-07-10","14:44:50","10/07/2026 14:44:50"
"C:","Windows-SSD","951.65","139.1","85.38","CRITICAL","2026-07-10","14:49:30","10/07/2026 14:49:30"
"C:","Windows-SSD","951.65","139.1","85.38","CRITICAL","2026-07-10","14:49:33","10/07/2026 14:49:33"
